,업체명,GRID_X,GRID_Y
0,리무진,395608,527394
1,만남,395510,531340
2,장윤희라이브송,395697,527836
3,불야성,395553,527738
4,초연단란주점,383856,522705
5,비지니스라이브,395589,531339
6,백련,395881,527548
7,주목,395928,527478
8,행복술파는노래공원,395979,527419
9,유원지단란주점,385690,529144
10,미쓰미단란주점,393050,522231
11,파트너,396051,527566
12,히트,395437,527918
13,도깨비,395511,527800
14,갤러리단란주점,400685,527995
15,부론단란주점,377980,512017
16,주리아,395520,531382
17,오케이단란주점,394882,529380
18,엔돌핀,395513,531357
19,황진이노래타운,383867,522695
20,백악관,385670,529184
21,달빛,394751,529462
22,희락단란주점,378023,511747
23,눈내림노래타운,394940,529713
24,느낌노래바,396140,527007
25,황진이,395965,527311
26,크림단란주점,394740,529407
27,황금클럽,407488,514184
28,장미공원길,393956,527105
29,룰루,400749,526889
30,초대,396006,527534
31,불꽃,395742,527314
32,에스(S)단란,395486,527838
33,기타부기,396071,527308
34,부메랑,395427,528165
35,아모르라이브,393979,527304
36,모나리자,377991,511944
37,대가술파는노래방,394784,529378
38,미스트롯라이브,393901,527154
39,닉스,393979,527304
40,파티,395560,527970
41,초콜릿,394173,527143
42,엠노래타운,393936,527173
43,준가요방,394205,527272
44,가빈,395340,527978
45,제이노래타운,394128,527268
46,황실,395873,527248
47,지중해라이브,395754,527742
48,블루,395517,527789
49,동대문,393994,527116
50,다이찌단란주점,396597,524799
51,하바나라이브,394199,527210
52,호박,396728,524935
53,오준꼬,395712,527226
54,소풍라이브,385063,524567
55,칠번가뮤직스토리,394283,527130
56,청춘열차,385060,524688
57,라이브바하,394075,526880
58,7080라이브,399105,525012
59,친구야,394023,527235
60,블루문,394220,527145
61,엠투(M2),394203,527258
62,한강7080라이브,394173,527143
63,다카포,393889,527067
64,아바,394188,527267
65,강남노래타운,394220,527145
66,윤씨방,395937,527582
67,청춘,396061,527266
68,둥지,395483,528006
69,로또노래바,396261,526732
70,써니라이브,393911,527313
71,무지개,395338,528195
72,매직노래타운,395320,528119
73,사라있네,394248,527132
74,대목,394241,527082
75,11클럽,393976,527119
76,한마당,395629,527792
77,아리랑회관,396088,527216
78,골드문,393994,527116
79,황실노래빠,395440,527945
80,난초,395541,527752
81,고구려,394241,527082
82,7함대,396723,524956
83,한국관룸나이트,394233,527213
84,학궁,396166,527219
85,봉화,393872,527069
86,파트너,395557,528056
87,유래가요방,395608,531566
88,스토리술파는노래방,394223,527255
89,별뮤직타운,396185,527026
90,유락노래마을,395555,527768
91,시티가요방,393925,527043
92,엠비씨(MBC)노래마트,394223,527255
93,신데렐라,394189,527141
94,감자,394196,527191
95,소녀시대,394104,527085
96,삼호룸라이브,395883,527209
97,부킹가요방,395861,527393
98,국제도시,395609,531527
99,서린회관,395857,527234
100,나성회관,394946,529814
101,더뮤즈바이꾼,394188,527267
102,더하드,393908,527013
103,간난이,395955,527316
104,썬노래방,395881,527548
105,상한가,396240,526774
106,강남라이브,396222,526856
107,클릭술파는가요방,395566,527747
108,백제,393993,527146
109,홀릭,393939,527216
110,대벌,395519,527816
111,한강성인나이트,395679,527688
112,설화,394006,527237
113,하바나,393969,527258
114,대박,394763,529529
115,국빈관나이트,393946,527262
116,트렌드,394202,527230
117,라이브킹,394130,527283
118,비몽,394217,527129
119,뉴가요무대,395513,527796
120,아미,395537,527817
121,코리아나,396147,527128
122,향촌가요주점,395989,527550
123,텀블러,394003,527217
124,호박술파는노래공원,395296,528101
125,알리앙스,394108,526876
126,봉봉,393925,527011
127,서희노래타운,395700,527373
128,분수대성인클럽,395873,527248
129,샾라이브,394239,527066
130,골든벨노래공원,394239,527066
