,허가번호,GRID_X,GRID_Y
0,2021-신속허가과-신축허가-16,389764,527394
1,2021-신속허가과-증축허가-2,385513,518860
2,2021-안전도시과-신축허가-6,399394,524410
3,2021-신속허가과-신축허가-15,389507,531361
4,2021-신속허가과-신축허가-14,393141,522116
5,2021-신속허가과-신축허가-13,388961,531355
6,2021-신속허가과-공용건축물-1,378009,511974
7,2021-신속허가과-증축허가-1,394854,526651
8,2021-안전도시과-신축허가-2,399036,525598
9,2021-신속허가과-신축허가-11,385268,526056
10,2021-신속허가과-신축허가-12,397052,529737
11,2021-안전도시과-신축허가-1,397194,526061
12,2021-건축과-용도변경허가-8,394919,521666
13,2021-신속허가과-신축허가-10,390458,530063
14,2021-건축과-용도변경허가-7,386830,515166
15,2021-신속허가과-신축허가-7,395233,528308
16,2021-신속허가과-신축허가-8,392128,529180
17,2021-신속허가과-신축허가-9,396049,528842
18,2021-건축과-용도변경허가-6,385281,526071
19,2021-건축과-용도변경허가-5,378473,509184
20,2021-신속허가과-신축허가-6,390971,530502
21,2021-신속허가과-신축허가-4,397751,530594
22,2021-건축과-용도변경허가-4,404830,510704
23,2021-안전도시과-협의건축물-1,396672,524906
24,2021-신속허가과-신축허가-3,394264,529256
25,2021-건축과-용도변경허가-3,394201,526863
26,2021-건축과-용도변경허가-2,394499,527150
27,2021-신속허가과-신축허가-2,396038,528960
28,2021-건축과-용도변경허가-1,395691,527410
29,2021-안전도시과-용도변경허가-1,396571,524569
30,2021-신속허가과-신축허가-1,381049,518315
31,2021-건축과-용도변경허가-19,394064,525831
32,2021-신속허가과-신축허가-28,384747,532977
33,2021-신속허가과-신축허가-27,385862,524695
34,2021-신속허가과-신축허가-25,394176,527589
35,2021-신속허가과-신축허가-26,393921,526249
36,2021-안전도시과-신축허가-15,399502,524447
37,2021-안전도시과-신축허가-14,399385,525262
38,2021-건축과-용도변경허가-18,388914,531193
39,2021-신속허가과-신축허가-24,385869,529016
40,2021-안전도시과-신축허가-13,397281,524161
41,2021-안전도시과-신축허가-12,399081,525635
42,2021-건축과-용도변경허가-15,394100,525801
43,2021-건축과-용도변경허가-16,394100,525801
44,2021-건축과-용도변경허가-17,394100,525801
45,2021-신속허가과-신축허가-23,393733,524795
46,2021-건축과-용도변경허가-14,398996,524739
47,2021-신속허가과-신축허가-22,380926,518286
48,2021-신속허가과-공용건축물-4,396850,526914
49,2021-신속허가과-증축허가-4,396849,526904
50,2021-건축과-용도변경허가-13,398765,526735
51,2021-신속허가과-신축허가-21,416832,517245
52,2021-안전도시과-신축허가-11,399053,525606
53,2021-건축과-용도변경허가-11,388914,531193
54,2021-건축과-용도변경허가-12,388914,531193
55,2021-신속허가과-공용건축물-3,378515,516647
56,2021-신속허가과-증축허가-3,383141,522050
57,2021-건축과-용도변경허가-10,389906,524156
58,2021-안전도시과-신축허가-10,397695,523599
59,2021-안전도시과-신축허가-9,399712,525344
60,2021-신속허가과-신축허가-20,395266,527805
61,2021-안전도시과-신축허가-7,399391,524511
62,2021-안전도시과-신축허가-8,399010,525592
63,2021-신속허가과-신축허가-19,394738,529065
64,2021-건축과-용도변경허가-9,381264,528089
65,2021-신속허가과-신축허가-18,386218,534187
66,2021-신속허가과-신축허가-17,382602,529279
67,2021-신속허가과-신축허가-45,394457,529438
68,2021-신속허가과-신축허가-46,395168,527348
69,2021-안전도시과-증축허가-1,396672,524906
70,2021-신속허가과-신축허가-43,384734,524326
71,2021-신속허가과-신축허가-44,394457,529438
72,2021-신속허가과-공용건축물-9,393014,526591
73,2021-신속허가과-신축허가-41,394734,529097
74,2021-신속허가과-신축허가-42,397544,535417
75,2021-신속허가과-신축허가-40,384299,523219
76,2021-안전도시과-용도변경허가-2,396672,524906
77,2021-신속허가과-신축허가-39,393209,522377
78,2021-신속허가과-증축허가-10,389929,527044
79,2021-신속허가과-신축허가-38,396855,534708
80,2021-신속허가과-증축허가-9,391716,528504
81,2021-건축과-용도변경허가-23,398785,524904
82,2021-안전도시과-신축허가-20,399468,524276
83,2021-신속허가과-신축허가-36,389486,531414
84,2021-신속허가과-신축허가-37,396709,526281
85,2021-신속허가과-신축허가-34,382417,518351
86,2021-신속허가과-신축허가-35,394942,533462
87,2021-안전도시과-신축허가-17,399268,525202
88,2021-안전도시과-신축허가-18,399630,524754
89,2021-안전도시과-신축허가-19,399491,524433
90,2021-신속허가과-신축허가-33,399987,535207
91,2021-신속허가과-증축허가-7,381458,521170
92,2021-신속허가과-공용건축물-8,393921,526249
93,2021-신속허가과-증축허가-8,397270,531851
94,2021-건축과-용도변경허가-22,388924,530250
95,2021-신속허가과-신축허가-32,394388,529906
96,2021-신속허가과-공용건축물-7,395764,526258
97,2021-안전도시과-신축허가-16,396672,524906
98,2021-건축과-용도변경허가-21,394831,529728
99,2021-신속허가과-신축허가-29,394721,529147
100,2021-신속허가과-신축허가-30,393130,524353
101,2021-신속허가과-신축허가-31,396545,531153
102,2021-신속허가과-증축허가-5,400881,528770
103,2021-신속허가과-증축허가-6,383177,521429
104,2021-건축과-용도변경허가-20,389265,517372
105,2021-신속허가과-증축허가-15,401002,526979
106,2021-신속허가과-신축허가-68,393184,531883
107,2021-신속허가과-신축허가-69,393010,528085
108,2021-신속허가과-대수선허가-2,383935,522710
109,2021-신속허가과-신축허가-65,380996,518371
110,2021-신속허가과-신축허가-66,395758,532416
111,2021-신속허가과-신축허가-67,396275,532841
112,2021-건축과-용도변경허가-29,398002,524926
113,2021-신속허가과-신축허가-64,393666,528584
114,2021-신속허가과-신축허가-62,398765,526735
115,2021-신속허가과-신축허가-63,400282,536845
116,2021-건축과-용도변경허가-28,393535,526526
117,2021-안전도시과-용도변경허가-3,397752,526292
118,2021-신속허가과-신축허가-61,395952,530898
119,2021-신속허가과-대수선허가-1,387309,525415
120,2021-신속허가과-증축허가-14,387149,524397
121,2021-건축과-용도변경허가-27,385967,528900
122,2021-신속허가과-신축허가-60,389735,530404
123,2021-신속허가과-신축허가-58,389806,530439
124,2021-신속허가과-신축허가-59,389668,507533
125,2021-건축과-용도변경허가-26,397184,523690
126,2021-신속허가과-신축허가-56,407120,514248
127,2021-신속허가과-신축허가-57,398355,527476
128,2021-신속허가과-협의건축물-1,392580,534865
129,2021-신속허가과-증축허가-13,394338,540963
130,2021-신속허가과-신축허가-54,392492,522511
131,2021-건축과-용도변경허가-25,393134,522328
132,2021-신속허가과-신축허가-52,408177,515643
133,2021-신속허가과-신축허가-53,389317,530379
134,2021-신속허가과-신축허가-51,397098,531515
135,2021-신속허가과-신축허가-48,391418,527040
136,2021-신속허가과-신축허가-49,385990,524000
137,2021-신속허가과-증축허가-12,399914,527075
138,2021-건축과-용도변경허가-24,398765,526735
139,2021-신속허가과-신축허가-47,401386,527119
140,2021-신속허가과-증축허가-11,395920,533844
141,2021-신속허가과-증축허가-17,396038,528960
142,2021-건축과-용도변경허가-34,396122,528779
143,2021-건축과-용도변경허가-35,393936,528631
144,2021-신속허가과-신축허가-89,396148,528447
145,2021-신속허가과-신축허가-90,399049,528719
146,2021-안전도시과-용도변경허가-4,397251,524530
147,2021-신속허가과-신축허가-88,396226,528139
148,2021-안전도시과-신축허가-28,399929,525322
149,2021-안전도시과-신축허가-27,399490,524402
150,2021-신속허가과-신축허가-87,394096,523944
151,2021-신속허가과-증축허가-16,392950,525629
152,2021-신속허가과-신축허가-85,399103,524280
153,2021-신속허가과-신축허가-86,389405,531402
154,2021-신속허가과-신축허가-83,388947,531490
155,2021-건축과-용도변경허가-33,399937,526043
156,2021-안전도시과-신축허가-26,399017,525620
157,2021-신속허가과-신축허가-80,395671,528907
