,업체명,GRID_X,GRID_Y
0, (주)이지메디텍,395781,533803
1,(재)강원테크노파크,385782,526029
2,(재)박기범재단,386010,525555
3,(주)8당,383086,521334
4,(주)가인들세정,385885,525697
5,(주)가포생활건강,395781,533803
6,(주)갈렙,395781,533803
7,(주)경원이엔지,395503,533609
8,(주)광덕에이앤티,383157,521187
9,(주)광영,382921,521513
10,(주)굿플,385889,525777
11,(주)귀뚜라미 원주공장,395488,533751
12,(주)그랜드,395186,533519
13,(주)글로비젼,383158,521698
14,(주)금강토탈디자인,395426,533599
15,(주)금성안전,386470,525935
16,(주)네오닥터,395781,533803
17,(주)네오비젼,385768,525700
18,(주)누가의료기,386221,525940
19,(주)누가의료기,385614,526014
20,(주)뉴보텍,395806,533691
21,(주)뉴보텍 제2공장,395622,533593
22,(주)뉴보텍(본관),395669,533654
23,(주)다본오토모티브,383123,521431
24,(주)다우메딕스,395781,533803
25,(주)다함에스엘피,386135,525342
26,(주)대금전기,395547,533699
27,(주)대우건설문막철구사업소,382394,520992
28,(주)대우에스티,382394,520992
29,(주)대지수출포장,383003,521698
30,(주)더마랩,383003,521777
31,(주)데어리젠,383070,521187
32,(주)도원엔바이로,395348,533409
33,(주)동일수지,382905,521248
34,(주)동일수지 제2공장,382984,521322
35,(주)동하,395503,533609
36,(주)드림터치메디,385782,526029
37,(주)디메디,385782,526029
38,(주)디엠에스,395781,533803
39,(주)레디오스,395564,533741
40,(주)루하,395546,533424
41,(주)리스템,386061,525898
42,(주)리펙스,385668,525696
43,(주)만도,382925,521066
44,(주)만도,382582,521344
45,(주)만앤휴멜코리아,386242,525460
46,(주)메가메디칼,385906,525931
47,(주)메디룬,395781,533803
48,(주)메디아나,385615,525896
49,(주)메디칼드림,386041,525780
50,(주)메디코넷,385497,525850
51,(주)메딕콘,385782,526029
52,(주)메쉬,395781,533803
53,(주)메코비,395781,533803
54,(주)미라클헬스케어,385782,526029
55,(주)미래텍,386414,525943
56,(주)바이오프로테크,385462,525605
57,(주)밴트랙코리아,386402,525866
58,(주)보성메디텍,385889,525777
59,(주)비엔텍,395348,533409
60,(주)비인더스트리,382882,521647
61,(주)사이언씨티,395781,533803
62,(주)삼양T.H.S,394593,530699
63,(주)삼원포장,395597,533807
64,(주)삼정에스비티,395377,533779
65,(주)상호맘,394867,530347
66,(주)서진텍,395054,530713
67,(주)서흥메가텍,385572,525673
68,(주)선인산업,395348,533409
69,(주)선진건설안전,395377,533779
70,(주)선진티앤씨,395377,533779
71,(주)성원엠엔디,395348,533409
72,(주)세명,395781,533803
73,(주)세원,395258,533460
74,(주)세원(2공장),395378,533453
75,(주)세정테크,386502,525833
76,(주)소닉월드,385767,525777
77,(주)소룩스,386344,525868
78,(주)소연메디칼,383275,521699
79,(주)수메디칼,395781,533803
80,(주)스타토건,395441,533653
81,(주)스페이스업,382921,521513
82,(주)시원그리드,395186,533519
83,(주)신우하이텍,386133,525246
84,(주)신화이엔지,383092,521699
85,(주)신화푸드,395531,533822
86,(주)신흥엠에스티,385990,526019
87,(주)씨에스텍,395455,533414
88,(주)씨유메디칼시스템,385784,525931
89,(주)아신,395441,533653
90,(주)아이센스 원주공장,386093,526007
91,(주)애드테크,395503,533609
92,(주)에보소닉,395781,533803
93,(주)에스에이치엘,395336,533644
94,(주)에스전력공사,395348,533409
95,(주)에이블디자인스,385782,526029
96,(주)에이치비오티메디칼,395781,533803
97,(주)에이텍,395186,533519
98,(주)에코,395669,533654
99,(주)엑스엘,395781,533803
100,(주)엘에스지,395546,533424
101,(주)엠에스그리드,386633,525737
102,(주)엠큐어,395781,533803
103,(주)영진,395503,533609
104,(주)영화제이,382872,521144
105,(주)오스코리아제약,383087,521952
106,(주)오코헬스케어,383127,521978
107,(주)오토메이션,395348,533409
108,(주)오토테크,383287,521944
109,(주)옵토바이오메드,385497,525850
110,(주)와이에이테크,395186,533519
111,(주)우리이엔지,395186,533519
112,(주)우진,395397,533589
113,(주)원앙의료기,386221,525940
114,(주)윌트리,385782,526029
115,(주)유원메디텍,385572,525673
116,(주)유일테크,395348,533409
117,(주)유정개발,394932,530643
118,(주)이레이앤엘,395503,533609
119,(주)이엔씨파워,395397,533589
120,(주)이엔에스,395348,533409
121,(주)인성이엔지,395463,533693
122,(주)인스킨,385782,526029
123,(주)인하에이엠티,384896,525411
124,(주)일광,383200,521269
125,(주)일신캐스팅,382582,521344
126,(주)일신테크,382921,521583
127,(주)전성,395514,533635
128,(주)제이산업,382872,521144
129,(주)제중메디칼,395781,533803
130,(주)중일전기,386113,525410
131,(주)지텍스,395290,533539
132,(주)진성산업,382859,521515
133,(주)진텍,395441,533653
134,(주)진한,395348,533409
135,(주)참빛라이팅,395348,533409
136,(주)참존,395294,533789
137,(주)청아굿푸드 농업회사법인,394867,530347
138,(주)쵸이스테크,395503,533609
139,(주)케이씨씨,382635,521002
140,(주)케이앤에프컴퍼니,395348,533409
141,(주)케이에너지시스템,395348,533409
142,(주)케이에스알,386470,525935
143,(주)케이에이씨,386095,525646
144,(주)케이엠텍,394876,530488
145,(주)코어웨어,386205,525850
146,(주)코하스,396226,528139
147,(주)태연메디칼,385678,526022
148,(주)태장엘이디,395348,533409
149,(주)태진,386337,525946
150,(주)태진 제2공장,384799,525416
151,(주)태초,395348,533409
152,(주)티앤씨,395564,533741
153,(주)파리크라상,395442,533487
154,(주)팜텍코리아,382859,521584
155,(주)퓨런메디칼,385782,526029
156,(주)프로메디,395781,533803
157,(주)하나씨엔에스,395562,533809
158,(주)하늘마음바이오 원주지점,385478,525781
159,(주)한국이엔씨,395606,533862
160,(주)한라홀딩스 원주센터,382923,521408
161,(주)한미메디테크,395781,533803
