,식당명,GRID_X,GRID_Y
0,유가호,395255,528165
1,원주칼국수,396093,527192
2,상훈 보쌈족발,395615,527467
3,연흥식당,396094,527258
4,민생회관,396033,527270
5,명랑막국수,395410,527998
6,산정집,395415,527730
7,북원사철탕,395710,531329
8,일호집,395693,527560
9,평안반점,395297,528250
10,동승루,394225,526468
11,새서울식당,385670,529150
12,영월장칼국수,393889,527062
13,무궁화집,395962,527655
14,청와대녹각삼계탕,395491,527978
15,시골집,395787,527467
16,고인돌,395648,527854
17,동화장,396242,526784
18,갈비&갈비,393658,527455
19,낙원루,394884,529976
20,태광곰탕,395153,531674
21,칭구,395642,527584
22,호남기사식당,396001,532820
23,간현짜장,385836,529044
24,황둔막국수,417249,517785
25,돌풍식당,395675,527826
26,우장군식당,395808,527247
27,산모퉁이,401560,519896
28,장터추어탕,383804,522678
29,큰곰,401563,519289
30,파리바게뜨 원주삼익점,397185,526628
31,대림순대,395398,523903
32,유원골,394779,529584
33,춘향골추어탕,396392,526732
34,별미칼국수,384031,523208
35,진수성찬양평해장국,396163,526788
36,돈채,396571,525288
37,지박사막국수,394848,527763
38,미소아식당,394444,529773
39,신혼부부,395656,527648
40,모두량스낵,395656,527648
41,임자칼국수,394550,529226
42,대구막창,394579,529515
43,덤바위집,391291,517291
44,풍년해장국,395379,525661
45,45jung,395656,527648
46,장우숯불구이,395656,527648
47,퓨전탕수육,391987,519294
48,선돈식당,396107,526780
49,해바라기 아구찜•북어찜,395917,525421
50,페리카나 학성점,395099,527489
51,달구지해물찜,395707,531626
52,메이키스,395656,527648
53,금정반점,395717,527798
54,페리카나 도영점,395377,525692
55,강변가든,393336,536245
56,호수집,392129,519933
57,이서방양념치킨,395232,526522
58,123돼지부속중앙점,396080,527208
59,만웅곰탕,393637,526288
60,페리카나 진우점,395743,530648
61,만석보리밥,395656,527648
62,김삿갓,385641,529159
63,흥업매지리막국수,391676,517693
64,청화대,395490,527119
65,굴뚝마차,396645,525060
66,물곰.해장국.해물찜,397136,524286
67,아리랑숯불구이,395632,527174
68,현분식,394595,529611
69,원식당,398466,524732
70,북원오리구이,395738,531651
71,새참과끼니,394605,529662
72,아우룸갈비,407484,513971
73,청해진식당,385660,529153
74,일호집,383960,522660
75,흥업손칼국수,393119,522280
76,처갓집손짜장,393090,522212
77,장수촌,399932,520253
78,파리바게뜨 원주1호점,395599,527570
79,장수칼국수,395215,527961
80,영월식당,396083,527503
81,송향해장국,396362,526212
82,무진장삼겹살,395906,527609
83,정지뜰칼국수,394899,528658
84,엄나무집원주본점,397549,523905
85,김밥친구,394586,529565
86,까치둥지,396310,526104
87,강남뚝배기해장국갈비탕,395099,530024
88,페리카나 봉산점,396329,527339
89,개건너식당,391465,517477
