,시설명,GRID_X,GRID_Y
0,문막1리 경로당,383880,522406
1,문막2리 경로당,384194,523036
2,포진1리 경로당,384089,521375
3,포진2리 경로당,383864,520240
4,궁촌1리 경로당,384836,519375
5,궁촌2리 경로당,385349,518488
6,비두1리 경로당,385624,516592
7,비두2리 경로당,386443,515251
8,후용1리(남) 경로당,382454,519054
9,후용1리(여) 경로당,382726,519107
10,후용2리(남) 경로당,382399,518736
11,후용2리(여) 경로당,382378,518808
12,반계1리 경로당,381765,521271
13,반계2리(남) 경로당,380797,520009
14,반계2리(여) 경로당,380867,519925
15,반계3리(골무내기) 경로당,380547,520674
16,반계3리(밤산골) 경로당,380532,520678
17,반계4리 남서울A 경로당,381739,521122
18,취병1리 경로당,382529,523012
19,취병2리 경로당,382681,523418
20,취병2리(진밭) 경로당,379881,526962
21,건등1리 경로당,383105,524342
22,건등1리(등안동) 경로당,386126,523705
23,건등2리 경로당,384766,524183
24,건등3리 경로당,385143,523828
25,건등4리 대보A 경로당,385327,524177
26,건등5리 덕원A 경로당,385325,524110
27,건등6리 경로당,383856,523436
28,건등7리 신한A 경로당,384183,523593
29,삼익A 경로당,384124,523538
30,건등9리 극동A 경로당,384423,523755
31,건등10리 문막주공A 경로당,384822,523905
32,동화1리 경로당,385626,525295
33,동화2리 경로당,386851,524435
34,동화3리 경로당,387226,526649
35,동화4리 만도A 경로당,385230,525289
36,동화6리 동보렉스A 경로당,385405,524429
37,동화8리 현진A 경로당,387949,526689
38,동화10리 부영A 경로당,385203,525002
39,동화12리 신원아침도시A 경로당,385364,524539
40,대둔리 경로당,379813,519039
41,문막이화A 경로당,384948,525224
42,서원주코아루아너스A 경로당,384711,523818
43,명봉산 경로당,385854,523168
44,장양1리 경로당,397689,535347
45,장양2리 경로당,397304,533179
46,장양3리 경로당 ,396696,534726
47,장양4리(대화지) 경로당,395437,534555
48,장양5리 경로당 ,396062,534525
49,장양6리 영진A 경로당 ,396474,534357
50,장양7리 백운A 경로당,396189,534468
51,장양8리 영진4차A 경로당,396419,534427
52,장양9리 경로당,396445,535203
53,흥양1리 경로당,397745,531271
54,흥양2리 경로당,399829,531117
55,흥양3리 경로당,400950,529252
56,흥양4리 경로당,398950,531566
57,수암1리 경로당,397311,531865
58,수암2리 경로당,399544,533491
59,수암3리 경로당 ,399460,532736
60,수암4리 경로당,399082,534474
61,평장1리 경로당,400405,535088
62,평장1리(섬배) 경로당,399448,535351
63,평장2리 경로당 ,400935,534285
64,둔둔2리 경로당,399242,538027
65,교항1리 경로당 ,401142,536714
66,교항1리(공산) 경로당 ,400903,537715
67,교항1리(대동) 경로당,402206,536410
68,교항2리 경로당,403105,537427
69,학곡1리 경로당,405538,536888
70,학곡2리 경로당,404829,535612
71,평장2리(안골) 경로당,400956,534870
72,주산1리 경로당,393502,534809
73,주산2리 경로당,393963,533093
74,만종1리 경로당,392575,529425
75,만종2리 경로당,391315,527828
76,만종2리(중부동) 경로당,391331,526591
77,만종3리 경로당,392424,528547
78,만종4리 경로당,390714,528074
79,만종5리 대보A 경로당,391344,527879
80,무장1리 경로당,390665,533112
81,무장1리(송정) 경로당,389702,532718
