瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),泅瘤扁拘 QC敲贰弊,秦搁扁拘(hPa),秦搁扁拘 QC敲贰弊,老炼(hr),老炼 QC敲贰弊,老荤(MJ/m2),老荤 QC敲贰弊,利汲(cm),3矫埃脚利汲(cm),傈款樊(10盒困),吝窍摸款樊(10盒困),款屈(款屈距绢),弥历款绊(100m ),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C),瘤搁柯档 QC敲贰弊,5cm 瘤吝柯档(∑C),10cm 瘤吝柯档(∑C),20cm 瘤吝柯档(∑C),30cm 瘤吝柯档(∑C)
114,盔林,2021-01-01,-8.9,,,,0.7,,70,,77,,2.4,-12.2,1008,,1027.7,,,9,,9,0.5,,0,0,,,1451,,,-8.2,,,,,
114,盔林,2021-01-01,-9.4,,,,0.4,,0,,77,,2.3,-12.6,1008.1,,1027.8,,,9,,9,0.5,,0,0,,,1637,,,-8.5,,,,,
114,盔林,2021-01-01,-9.9,,,,0,,0,,79,,2.3,-12.8,1008.3,,1028.1,,,9,,9,0.5,,0,0,,,1441,,,-8.6,,,,,
114,盔林,2021-01-01,-10.1,,,,0.6,,70,,79,,2.3,-13,1008.5,,1028.3,,,9,,9,0.5,,0,0,,,1357,,,-8.9,,,,,
114,盔林,2021-01-01,-11.1,,,,0.1,,0,,84,,2.2,-13.2,1007.8,,1027.6,,,9,,9,0.5,,0,0,,,1086,,,-9.1,,,,,
114,盔林,2021-01-01,-11.6,,,,0.5,,20,,83,,2.1,-13.9,1007.7,,1027.6,,,9,,9,0.5,,0,0,,,1078,,,-9.2,,,,,
114,盔林,2021-01-01,-11.9,,,,0.6,,270,,83,,2,-14.2,1007.9,,1027.8,,,9,,9,0.6,,1,0,,,1075,,,-9.3,,,,,
114,盔林,2021-01-01,-11.6,,,,0.2,,0,,82,,2.1,-14,1007.8,,1027.7,,0,,0,,0.6,,5,3,,19,1154,,,-8.8,,,,,
114,盔林,2021-01-01,-11.2,,,,1.6,,20,,79,,2.1,-14.1,1008.5,,1028.3,,0.7,,0.35,,0.5,,0,0,,,1234,,,-7.7,,,,,
114,盔林,2021-01-01,-8.9,,,,1,,50,,68,,2.1,-13.7,1008.7,,1028.4,,1,,1.15,,0.5,,0,0,,,1302,,,-5.4,,,,,
114,盔林,2021-01-01,-7.1,,,,0.5,,90,,60,,2.2,-13.5,1008.4,,1027.9,,1,,1.59,,0.4,,4,0,,,1797,,,-0.6,,,,,
114,盔林,2021-01-01,-4.3,,,,0.5,,200,,47,,2.1,-13.9,1006.8,,1026.1,,1,,2.02,,0.3,,1,0,,,1716,,,2.5,,,,,
114,盔林,2021-01-01,-1.6,,,,1,,360,,41,,2.2,-13.1,1005.8,,1024.9,,1,,1.91,,0.3,,0,0,,,1990,,,4.6,,,,,
114,盔林,2021-01-01,-0.7,,,,0.9,,250,,44,,2.6,-11.4,1005.4,,1024.4,,1,,1.74,,0.2,,0,0,,,1989,,,4.9,,,,,
114,盔林,2021-01-01,-1,,,,1.3,,290,,50,,2.8,-10.1,1005.4,,1024.4,,1,,1.29,,,,1,0,,,1974,,,0.3,,,,,
114,盔林,2021-01-01,-0.9,,,,1.1,,250,,54,,3.1,-9,1005.4,,1024.4,,0.7,,0.53,,,,2,1,,12,1971,,,-0.3,,,,,
114,盔林,2021-01-01,-1.1,,,,1.7,,230,,61,,3.5,-7.6,1005.6,,1024.6,,0,,0.13,,,,7,1,,19,2000,,,-0.3,,,,,
114,盔林,2021-01-01,-1.9,,,,0.7,,200,,69,,3.7,-6.8,1005.5,,1024.6,,0,,0.01,,,,0,0,,,1936,,,-1,,,,,
114,盔林,2021-01-01,-2.3,,,,0.5,,230,,74,,3.8,-6.3,1005.6,,1024.7,,,9,,9,,,1,1,,17,1561,,,-1.5,,,,,
114,盔林,2021-01-01,-3.2,,,,0.2,,0,,74,,3.6,-7.1,1005.7,,1024.9,,,9,,9,,,0,0,,,1299,,,-2.7,,,,,
114,盔林,2021-01-01,-4,,,,0.2,,0,,78,,3.6,-7.2,1005.9,,1025.2,,,9,,9,,,0,0,,,1078,,,-3.8,,,,,
114,盔林,2021-01-01,-4.2,,,,0.6,,90,,80,,3.6,-7.1,1006.2,,1025.5,,,9,,9,,,6,0,,,895,,,-4,,,,,
114,盔林,2021-01-01,-4.1,,,,0.5,,90,,80,,3.6,-7,1006.4,,1025.7,,,9,,9,,,9,5,,16,887,,,-4.5,,,,,
114,盔林,2021-01-02,-5.1,,,,0,,0,,85,,3.6,-7.2,1006.4,,1025.8,,,9,,9,,,8,0,,,695,,,-5.5,,,,,
