필지고유번호(PNU),주소,도로명 주소
4.21301E+18,단계동 1221,서원대로 35
4.21301E+18,단구동 1597-4,서원대로 480
4.21304E+18,신림면 황둔리 1726-6,신림황둔로 564-3
4.21304E+18,신림면 황둔리 1594-3,신림황둔로 645-13
4.21304E+18,신림면 성남리 87,신림황둔로 281-44
4.21303E+18,지정면 월송리 992,월송석화로 570
4.21303E+18,지정면 월송리 739-3,월송석화로 290
4.21303E+18,소초면 장양리 1254-13,가현로 354
4.21303E+18,문막읍 건등리 1707-15,건등로 24-15
4.21304E+18,부론면 노림리 1297,견훤로 689-38
4.21304E+18,부론면 노림리 1297,견훤로 689-38
4.21304E+18,부론면 노림리 548,견훤로 739
4.21303E+18,문막읍 후용리 1534-1,견훤로 941-102
4.21303E+18,문막읍 후용리 1007,견훤로 1079-27
4.21303E+18,문막읍 후용리 606-10,견훤로 914-5
4.21303E+18,소초면 학곡리 158-2,구룡사로 108-26
4.21304E+18,귀래면 귀래리 630-7,귀문로 402
4.21303E+18,문막읍 비두리 1727,귀문로 771-5
4.21301E+18,일산동 274-4,남산로 115
4.21304E+18,흥업면 흥업리 570-3,남원로 20-16
4.21301E+18,단구동 724-18,단구로 339-1
4.21304E+18,흥업면 대안리 2206-3,대안로 386
4.21301E+18,행구동 1775-3,동부순환로 338-6
4.21303E+18,문막읍 동화리 1039-29,동화공단로 174-13
4.21301E+18,무실동 1761-1,로아노크로 96-1
4.21301E+18,무실동 412,만대로 16-6
4.21303E+18,호저면 매호리 782,매호로 143
4.21303E+18,호저면 매호리 782,매호로 143
4.21304E+18,부론면 정산리 2061-16,부론로 247
4.21304E+18,부론면 정산리 2060-9,부론로 261-9
4.21304E+18,부론면 정산리 1599-2,부론로 544
4.21304E+18,부론면 법천리 1158-11,부론로 198-5
4.21304E+18,흥업면 사제리 1184-4,사제로 401-20
4.21304E+18,흥업면 사제리 954-6,사제로 299-17
4.21303E+18,소초면 평장리 1071,섬배로 245-1
4.21303E+18,지정면 신평리 724-5,신무로 312
4.21303E+18,지정면 신평리 724-5,신무로 312
4.21303E+18,문막읍 동화리 1091-1,왕건로 161
4.21301E+18,우산동 390-5,우산로 177
4.21301E+18,우산동 390-3,우산로 177
4.21303E+18,소초면 흥양리 87,운곡로 310
4.21303E+18,소초면 흥양리 87,운곡로 310
4.21301E+18,행구동 426,운곡로 220
4.21303E+18,문막읍 대둔리 108,원문로 2726
4.21303E+18,문막읍 대둔리 108,원문로 2726
4.21303E+18,문막읍 대둔리 83,원문로 2716-41
4.21303E+18,문막읍 반계리 790-4,원문로 2561-2
4.21303E+18,문막읍 반계리 790-4,원문로 2561-2
4.21303E+18,문막읍 반계리 101,원문로 2146
4.21303E+18,지정면 안창리 822,원양2로 315
4.21304E+18,부론면 정산리 238-1,정산로 232-18
4.21303E+18,지정면 가곡리 1476,조엄로 393
4.21303E+18,지정면 가곡리 1470-1,조엄로 397
4.21303E+18,지정면 가곡리 1470-1,조엄로 397
4.21303E+18,지정면 가곡리 1283-3,조엄로 347
4.21303E+18,지정면 가곡리 142-4,지래울로 110-27
4.21303E+18,지정면 판대리 157-31,지정로 1025-18
4.21303E+18,문막읍 취병리 794-3,취병로 659-10
4.21304E+18,신림면 신림리 770-3,치악로 58-22
4.21304E+18,판부면 금대리 835-2,치악로 999-68
4.21303E+18,소초면 교항리 170-6,치악로 3230-5
4.21301E+18,태장동 718,치악로 2006-3
4.21301E+18,태장동 333,치악로 2230
4.21301E+18,단구동 224,치악로 1692
4.21301E+18,단구동 192-1,치악로 1626-19
4.21303E+18,호저면 산현리 624,칠봉로 497
4.21303E+18,호저면 산현리 216,칠봉로 339
4.21303E+18,호저면 용곡리 322-8,칠봉로 840-74
4.21303E+18,호저면 주산리 992-12,칠봉로 109-128
4.21303E+18,호저면 주산리 992-12,칠봉로 109-127
4.21301E+18,행구동 1765-2,행구로 182
4.21301E+18,행구동 1552-1,행구로 267-25
4.21301E+18,행구동 1356-27,행구로 326-40
4.21301E+18,봉산동 865-18,행구로 127-1
4.21301E+18,태장동 897-23,현충로 144-11
4.21301E+18,태장동 888-11,현충로 140-2
4.21303E+18,호저면 고산리 159-12,호저로 1163-7
4.21303E+18,호저면 고산리 148,호저로 1277-7
4.21303E+18,소초면 흥양리 310,황골로 455-3
4.21303E+18,소초면 흥양리 308,황골로 442-9
4.21303E+18,소초면 흥양리 94-4,황골로 442-38
4.21303E+18,지정면 월송리 218,신평석화로 346-20
4.21304E+18,귀래면 운남리 966-4,부귀로 1955
4.21304E+18,귀래면 운남리 966-4,부귀로 1955
4.21304E+18,귀래면 운남리 966-4,부귀로 1955
4.21304E+18,흥업면 매지리 1059-2,북원로 1243
4.21304E+18,귀래면 운계리 679-2,북원로 349
4.21303E+18,소초면 장양리 1310,북원로 2955
4.21301E+18,무실동 1060-2,북원로 1931
4.21301E+18,무실동 1019-9,북원로 1891
4.21304E+18,신림면 성남리 158-8,성남로 58-1
4.21303E+18,문막읍 반계리 2273-8,반산1로 24
4.21303E+18,문막읍 반계리 2255-7,반산2로 98
4.21301E+18,단계동 1173-2,봉화서부로 22-2
4.21301E+18,반곡동 1963-19,혁신로 301-15
4.21301E+18,반곡동 1860-8,혁신로 5
4.21301E+18,반곡동 1816-2,배울로 215
4.21303E+18,지정면 신평리 1057,기업도시로 125
4.21303E+18,지정면 가곡리 1344-5,무릉로 39
4.21303E+18,지정면 가곡리 1344-4,무릉로 43
4.21303E+18,지정면 가곡리 1512,신지정로 250
4.21303E+18,지정면 가곡리 1501,신지정로 300
4.21303E+18,지정면 가곡리 1501,신지정로 300
4.21303E+18,지정면 가곡리 1370-5,신지정로 201-3
4.21303E+18,지정면 가곡리 1349-2,신지정로 172
4.21303E+18,지정면 가곡리 1405-3,신지정로 167-2
4.21303E+18,지정면 가곡리 1405-2,신지정로 167-1
4.21303E+18,지정면 가곡리 1381-1,신지정로 191-1
4.21303E+18,지정면 가곡리 1370-2,신지정로 201-1
4.21303E+18,지정면 가곡리 1364-2,신지정로 205-2
4.21303E+18,지정면 가곡리 1576-17,신평로 115-11
4.21301E+18,반곡동 1413-14,반곡초교로 84
4.21303E+18,지정면 가곡리 769,가곡새말길 16
4.21303E+18,지정면 가곡리 729,가곡새말길 59
4.21303E+18,호저면 만종리 436,감박산길 66
4.21303E+18,호저면 만종리 432-2,감박산길 84
4.21303E+18,소초면 수암리 1504,갓바우길 101-9
4.21301E+18,봉산동 779-11,개륜1길 50-44
4.21301E+18,봉산동 737-1,개륜1길 104
4.21303E+18,호저면 광격리 433,고산동막길 162-18
4.21304E+18,귀래면 귀래리 81-5,곰네미길 23-14
