업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명,관리기관,관리기관전화번호,데이터기준일자
단란주점,1993-10-16,리무진,강원도 원주시 무실로 14-3 (일산동),강원도 원주시 일산동 91-7 ,66.2,033-744-7155,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1993-11-04,만남,강원도 원주시 북원로 2693 (가현동),강원도 원주시 가현동 91-12 ,92.2,033-743-7546,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1993-12-16,장윤희라이브송,강원도 원주시 평원로 83 (중앙동),강원도 원주시 중앙동 1-1 ,104,033-744-3619,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1993-12-24,불야성,강원도 원주시 천사로 213 (중앙동),강원도 원주시 중앙동 13-2 ,127.71,033-742-0605,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1993-10-11,초연단란주점,강원도 원주시 문막읍 문막시장1길 46-3,강원도 원주시 문막읍 문막리 240-4 ,104.84,033-735-5884,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1994-05-16,비지니스라이브,강원도 원주시 북원상가길 4 (태장동),강원도 원주시 태장동 1381-17 ,77.97,033-745-4843,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1994-06-17,백련,"강원도 원주시 중평길 32-1 (중앙동,,82-1)","강원도 원주시 중앙동 94-3 ,82-1 ",85.12,033-742-5229,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1994-08-13,주목,강원도 원주시 감영길 53-16 (중앙동),강원도 원주시 중앙동 164-2 ,47.99,033-745-3163,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1994-11-18,행복술파는노래공원,강원도 원주시 감영길 55 (중앙동),강원도 원주시 중앙동 152-1 ,88.1,033-742-4944,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1994-02-04,예쁜아지트,"강원도 원주시 흥업면 남원로 76, 지1층","강원도 원주시 흥업면 흥업리 65-8 ,12,15 ",146.86,033-731-7304,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1995-09-11,오아시스,강원도 원주시 평원안길 2 (평원동),강원도 원주시 평원동 352-18 ,71.73,033-747-0220,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1996-01-03,유원지단란주점,강원도 원주시 지정면 간현로 181,강원도 원주시 지정면 간현리 1047-16 ,17.53,033-731-7025,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1996-01-12,미쓰미단란주점,강원도 원주시 흥업면 남원로 65,강원도 원주시 흥업면 흥업리 585-8 ,81.9,033-762-8286,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1996-02-17,파트너,강원도 원주시 평원안길 26-6 (평원동),강원도 원주시 평원동 301-28 ,108.76,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1996-02-23,히트,강원도 원주시 원일로 170 (학성동),강원도 원주시 학성동 211-6 ,75.35,033-735-1598,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1996-06-22,도깨비,"강원도 원주시 원일로 152 (학성동,207-9,207-38)","강원도 원주시 학성동 207-8 207-9,207-38 ",110.14,033-746-1189,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1996-09-06,갤러리단란주점,강원도 원주시 덕성길 6 (행구동),강원도 원주시 행구동 437-0 ,90.3,033-747-0151,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1996-12-12,부론단란주점,강원도 원주시 부론면 법천시장길 27,강원도 원주시 부론면 법천리 1449-25 ,96.67,033-732-6441,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1996-12-12,주리아,"강원도 원주시 북원로 2699, 지하1층 (가현동)",강원도 원주시 가현동 90-1 ,71.95,033-743-4520,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1997-01-28,오케이단란주점,강원도 원주시 북원로2485번길 2 (우산동),강원도 원주시 우산동 89-8 ,134.68,033-744-0029,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1997-01-31,엔돌핀,강원도 원주시 북원로 2695 (가현동),강원도 원주시 가현동 90-7 ,108.64,033-743-5559,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1997-02-10,황진이노래타운,강원도 원주시 문막읍 문막시장1길 46-1,강원도 원주시 문막읍 문막리 240-5 ,90.01,033-731-3554,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1997-03-24,백악관,강원도 원주시 지정면 간현로 188,강원도 원주시 지정면 간현리 1049-9 ,74.02,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1997-05-12,달빛,강원도 원주시 우산초교길 19-2 (우산동),강원도 원주시 우산동 231-8 ,116.72,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1997-08-14,희락단란주점,강원도 원주시 부론면 법천시장길 65-1,강원도 원주시 부론면 법천리 1449-9 ,93.85,033-732-8732,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1997-10-13,눈내림노래타운,강원도 원주시 북원로 2519 (우산동),강원도 원주시 우산동 76-6 ,92.5,033-748-2929,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1997-11-10,느낌노래바,"강원도 원주시 원일로 14, 지하1층 (인동)",강원도 원주시 인동 264-23 ,89.8,033-744-7626,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1997-12-12,황진이,강원도 원주시 중앙로 61 (중앙동),강원도 원주시 중앙동 203-1 ,87.5,033-743-5965,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1998-08-17,크림단란주점,강원도 원주시 북원로2485번길 18 (우산동),강원도 원주시 우산동 231-12 ,65.41,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,1999-02-25,황금클럽,"강원도 원주시 신림면 치악로 8, 지하1층",강원도 원주시 신림면 신림리 693-6 ,97.84,033-763-8454,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2000-01-15,장미공원길,강원도 원주시 장미공원길 71-5 (단계동),강원도 원주시 단계동 867-6 ,91.69,033-744-8574,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2000-01-28,룰루,강원도 원주시 행구로 454 (행구동),강원도 원주시 행구동 183-0 ,128.09,033-734-8450,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2001-03-06,초대,강원도 원주시 평원안길 25 (평원동),강원도 원주시 평원동 323-1 ,66.78,033-745-1389,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2001-06-30,불꽃,강원도 원주시 감영길 11-2 (일산동),강원도 원주시 일산동 30-5 ,91.31,033-763-4701,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2002-06-03,에스(S)단란,강원도 원주시 원일로 158 (학성동),강원도 원주시 학성동 207-35 ,73.4,033-731-6164,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2002-11-30,기타부기,강원도 원주시 중앙로 46-11 (중앙동),강원도 원주시 중앙동 238-1 ,53.96,033-732-7782,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2003-03-03,부메랑,강원도 원주시 평원로 136 (학성동),강원도 원주시 학성동 361-22 ,81.48,033-744-5850,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2003-11-03,아모르라이브,강원도 원주시 천사로 38 (단계동),강원도 원주시 단계동 857-0 ,75.28,033-746-3173,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2003-11-03,모나리자,강원도 원주시 부론면 법천시장길 37,강원도 원주시 부론면 법천리 1449-33 ,97.28,033-731-5572,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2003-11-15,대가술파는노래방,강원도 원주시 북원로2485번길 13 (우산동),강원도 원주시 우산동 91-1 ,65.67,033-743-7140,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2004-02-11,미스트롯라이브,"강원도 원주시 장미공원길 66, 2층 (단계동)",강원도 원주시 단계동 865-3 ,145,033-745-5455,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2004-06-04,닉스,강원도 원주시 천사로 38 (단계동),강원도 원주시 단계동 857 ,97.97,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2005-07-05,파티,강원도 원주시 평원로 107 (학성동),강원도 원주시 학성동 327-13 ,86,033-748-3125,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2005-12-22,초콜릿,강원도 원주시 장미공원길 27-7 (단계동),강원도 원주시 단계동 847-5 ,131.55,033-733-0030,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2006-06-12,엠노래타운,"강원도 원주시 장미공원길 65 (단계동,2층)",강원도 원주시 단계동 864 2층 ,122.94,033-744-8080,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2006-12-07,준가요방,강원도 원주시 천사로 66 (단계동),강원도 원주시 단계동 842-1 ,77.93,033-743-2133,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2007-05-25,가빈,강원도 원주시 학성길 126 (학성동),강원도 원주시 학성동 223-83 ,76.34,033-731-2725,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2008-05-28,제이노래타운,"강원도 원주시 장미공원길 36, 2층 (단계동)",강원도 원주시 단계동 855-3 ,108.84,033-742-7677,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2008-11-07,황실,"강원도 원주시 원일로 59-8 (원동,(2층))",강원도 원주시 원동 5-10 (2층) ,96.8,033-761-4920,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2008-11-12,지중해라이브,"강원도 원주시 중앙시장길 35-4, 지1층 (중앙동)",강원도 원주시 중앙동 42-4 ,118.34,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2009-07-27,블루,"강원도 원주시 원일로 150-1, 지하1층 (학성동, 원일로150)","강원도 원주시 학성동 207-25 ,26 지하1층 ",93.24,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2009-12-30,동대문,"강원도 원주시 장미공원길 67-6 (단계동,(2층))",강원도 원주시 단계동 867-2 (2층) ,54.3,033-746-1879,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2009-12-31,다이찌단란주점,"강원도 원주시 서원대로 507 (단구동,(4층))",강원도 원주시 단구동 143-21 (4층) ,81.75,033-734-2988,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2010-05-13,하바나라이브,"강원도 원주시 장미공원길 25-2 (단계동,(5층))",강원도 원주시 단계동 846-2 (5층) ,96.4,033-744-1657,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2012-07-16,호박,"강원도 원주시 치악로 1606, 지상1층 (단구동)",강원도 원주시 단구동 168-21 지상1층 ,38.18,033-765-1575,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2014-06-03,오준꼬,"강원도 원주시 일산로 51, 2층 (일산동)",강원도 원주시 일산동 12-24 ,101,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2014-07-15,소풍라이브,"강원도 원주시 문막읍 왕건로 39, 지상2층",강원도 원주시 문막읍 건등리 1624 지상2층 ,112.91,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2015-08-03,칠번가뮤직스토리,"강원도 원주시 북원로 2243, 지하1층 (단계동)",강원도 원주시 단계동 850-1 ,61.06,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2015-11-11,청춘열차,"강원도 원주시 문막읍 왕건로 50, 지하1층",강원도 원주시 문막읍 동화리 1542-10 ,112.68,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2016-03-14,라이브바하,"강원도 원주시 서원대로 176, 6층 (단계동)",강원도 원주시 단계동 882-1 ,93.41,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2016-08-22,7080라이브,"강원도 원주시 미래로 37, 4층 (반곡동)",강원도 원주시 반곡동 1903-8 ,139.84,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2017-04-04,친구야,"강원도 원주시 장미공원길 43-2, 지상4층 (단계동)",강원도 원주시 단계동 861-2 지상4층 ,199.13,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2017-07-21,블루문,"강원도 원주시 장미공원길 25-9, 지상1층 (단계동)",강원도 원주시 단계동 848-1 지상1층 ,49.9,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2019-12-26,엠투(M2),"강원도 원주시 장미공원길 26, 5층 (단계동)",강원도 원주시 단계동 842-6 ,149.95,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2021-10-05,한강7080라이브,"강원도 원주시 장미공원길 27-7, 5층 (단계동)",강원도 원주시 단계동 847-5 ,135.53,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2021-11-10,다카포,"강원도 원주시 장미공원길 74, 2층 (단계동)",강원도 원주시 단계동 870-1 ,97.67,033-734-6636,단란주점,강원도 원주시청,033-737-4039,2022-08-23
단란주점,2021-11-19,아바,강원도 원주시 천사로 64 (단계동),강원도 원주시 단계동 842 ,109.68,,단란주점,강원도 원주시청,033-737-4039,2022-08-23
