단지명,업체명,전화번호,종업원수,생산품,공장대표주소(도로명),공장대표주소(지번),업종명,관리기관,관리기관전화번호,데이터기준일자
원주태장농공단지, (주)이지메디텍,033-745-4677,2,렌즈소독기,"강원도 원주시 태장공단길 42-10, 1동 201호 (태장동, 원주의료기기센터)",강원도 원주시 태장동 1720-26번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(재)강원테크노파크,,1,,강원도 원주시 문막읍 동화공단로 130-2,강원도 원주시 문막읍 동화리 1642-5번지,비주거용 건물 임대업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(재)박기범재단,,,전기,강원도 원주시 문막읍 동화공단로 101-3,강원도 원주시 문막읍 동화리 1665-3,태양력 발전업,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,(주)8당,033-901-8181,40,보건용마스크,강원도 원주시 문막읍 문막공단길 188,강원도 원주시 문막읍 문막공단길 188,기타 직물제품 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)가인들세정,033-900-2037,2,마스크,"강원도 원주시 문막읍 동화공단로 107-1, F동",강원도 원주시 문막읍 동화리 1667-1 F동,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)가포생활건강,033-747-8267,35,"사지압박순환장치,전기마사지기","강원도 원주시 태장공단길 42-10, 1동 114, 125호 (태장동, 원주의료기기센터)",강원도 원주시 태장동 1720-26번지,그 외 기타 의료용 기기 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)갈렙,033-748-0433,6,의료용 세정기,"강원도 원주시 태장공단길 42-10 (태장동) 원주의료기기산업기술단지 3동 202호, 203호, 1동 121호","강원도 원주시 태장동 1720-26 원주의료기기산업기술단지 3동 202호, 203호, 1동 121호",그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)경원이엔지,033-744-4240,2,"수위조절기, 염소투입기, 지하수보호공","강원도 원주시 태장공단길 42-1, 205호 (태장동)",강원도 원주시 태장동 1720-22번지 205호,배전반 및 전기 자동제어반 제조업 외 7 종,강원도 원주시,033-737-2982,2021-10-31
원주문막지방산업단지,(주)광덕에이앤티,033-731-0280,145,조향장치용 플라스틱 부품,강원도 원주시 문막읍 문막공단길 176,강원도 원주시 문막읍 반계리 2234번지,그 외 자동차용 신품 부품 제조업 외 3 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)광영,033-764-4414,4,"보안용카메라,영상감시장치,교통신호장치",강원도 원주시 문막읍 문막공단길 71,강원도 원주시 문막읍 반계리 2184번지,방송장비 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)굿플,16445866,71,"저주파자극기, 의료용진동기, 레이저조사기",강원도 원주시 문막읍 동화공단로 107,강원도 원주시 문막읍 동화리 1660-2번지,그 외 기타 의료용 기기 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)귀뚜라미 원주공장,033-734-3415,6,"보일러, 동체용접품",강원도 원주시 태장공단길 54-6 (태장동),강원도 원주시 태장동 1720-14번지,산업용 난방보일러 및 방열기 제조업 외 4 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)그랜드,033-734-0482,16,"교통신호기, 교통신호등,배전반, 조명장치,분전반, 제어반,cctv",강원도 원주시 태장공단길 59 (태장동),강원도 원주시 태장동 1720-4번지,배전반 및 전기 자동제어반 제조업 외 13 종,강원도 원주시,033-737-2982,2021-10-31
원주문막농공단지,(주)글로비젼,033-732-7327,7,LED조명기구,강원도 원주시 문막읍 문막공단길 226,강원도 원주시 문막읍 반계리 5-33번지,일반용 전기 조명장치 제조업,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)금강토탈디자인,033-745-8373,18,"알루미늄휀스, 체육시설",강원도 원주시 태장공단길 48 (태장동),강원도 원주시 태장동 1720-11번지,알루미늄주물 주조업 외 8 종,강원도 원주시,033-737-2982,2021-10-31
원주동화일반산업단지,(주)금성안전,033-743-8688,9,"금속재울타리,조립식구조물,도로교통안전시설물",강원도 원주시 문막읍 동화공단로 58-1,강원도 원주시 문막읍 동화리 1669-2번지,구조용 금속 판제품 및 공작물 제조업 외 6 종,강원도 원주시,033-737-2982,2021-10-31
원주태장농공단지,(주)네오닥터,033-734-1861,10,네오플런저,"강원도 원주시 태장공단길 42-10, 204호 (태장동)",강원도 원주시 태장동 1720-26번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)네오비젼,031-627-5527,48,"콘텍트렌즈,오존나이져",강원도 원주시 문막읍 동화공단로 129-1,강원도 원주시 문막읍 동화리 1667-5번지,안경 및 안경렌즈 제조업 외 1 종,강원도 원주시,033-737-2982,2021-10-31
원주동화농공단지,(주)누가의료기,033-730-0011,64,온열치료기,강원도 원주시 문막읍 동화공단로 84-1,강원도 원주시 문막읍 동화리 1642-10번지,그 외 기타 의료용 기기 제조업,강원도 원주시,033-737-2982,2021-10-31
