식당(ID),식당명,도로명주소,지번주소,식당위도,식당경도,식당대표전화번호,영업신고증업태명,영업인허가명,음식점소개내용,식당상태
1656,유가호,강원도 원주시 원일로 209-1,강원도 원주시 학성동 290-12,37.3554605,127.9442457,033-742-3342,중국식,일반음식점,"강원도 원주시에서 가 볼 만한 식당을 찾으신다면? ""유가호""를 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 50년 이상의 전통을 자랑합니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
3057,원주칼국수,강원도 원주시 중앙로 32,강원도 원주시 인동 25-11,37.3466986,127.9537132,033-764-0941,한식,일반음식점,"""원주칼국수""를 강원도 원주시의 가 볼 만한 식당으로 추천합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
3058,상훈 보쌈족발,강원도 원주시 무실로12번길 13,강원도 원주시 일산동 77-3,37.3491711,127.9483128,033-743-2625,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""상훈보쌈""을 추천합니다! 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
3427,연흥식당,강원도 원주시 평원로 1-1,강원도 원주시 중앙동 260,37.3472904,127.9537282,033-743-0589,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 강원도 원주시 맛집, ""연흥식당""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
3428,민생회관,강원도 원주시 중앙로 46,강원도 원주시 중앙동 243-1,37.3473982,127.9530288,033-742-2837,한식,일반음식점,"강원도 원주시 근처로 갈 일정이 있으시다면, 맛집으로 소문난 ""민생회관""을 꼭 방문해보세요. 2020년 04월 03일 KBS2 2TV생생정보 1039회에 방영되었답니다. 다국어 메뉴판이 있는 매장입니다.",운영중
3948,명랑막국수,강원도 원주시 원일로 180-1,강원도 원주시 학성동 311-18,37.3539567,127.9459983,033-742-6805,한식,일반음식점,"강원도 원주시에 가신다면 ""명랑막국수""에 방문해보세요~ 레드테이블에서 온라인 예약이 가능합니다! 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
3949,산정집,강원도 원주시 천사로 203-15,강원도 원주시 일산동 217-8,37.3515457,127.9460512,033-742-8556,한식,일반음식점,"2017년 02월 18일 SBS 백종원의3대천왕 73회, 2016년 11월 25일 KBS2 2TV생생정보 210회, 2016년 01월 11일 MBC 생방송오늘저녁 287회, 2015년 09월 17일 KBS1 6시내고향 5858회, 2015년 04월 20일 SBS 생방송투데이 1400회, 2014년 05월 06일 KBS2 생생정보통 867회, 2013년 03월 14일 KBS2 생생정보통 618회, KBS2 굿모닝대한민국 246회 등 많은 방송에 등장한 바로 그 곳! 강원도 원주시에 가시면 소문난 맛집 ""박순례손말이고기산정집""을 방문해보세요! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다.",운영중
3953,북원사철탕,강원도 원주시 북원상가길 21,강원도 원주시 태장동 1382-2,37.3839732,127.9493691,033-733-0109,한식,일반음식점,"강원도 원주시에 가신다면 ""북원사철탕""에 방문해보세요~ 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
3955,일호집,강원도 원주시 중앙시장길 6 중앙시장 나동,강원도 원주시 중앙동 62-1,37.3500139,127.9491964,033-742-3258,한식,일반음식점,"2018년 03월 08일 MBC 생방송오늘저녁 800회, 2015년 05월 01일 KBS2 VJ특공대 760회 등 여러 방송에서 다룬 바로 그 곳! 강원도 원주시 인기 맛집 ""일호집""을 방문해보세요! 남녀 화장실이 구분되어 있는 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
3957,평안반점,강원도 원주시 평원로 153,강원도 원주시 학성동 430-13,37.3562256,127.9447258,033-742-3869,중국식,일반음식점,"강원도 원주시에서 어디를 갈지 고민이라면! ""평안반점""에 가보시는 건 어떨까요? 다국어 메뉴판이 있는 매장입니다.",운영중
