업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명,관리기관,관리기관전화번호,데이터기준일자
유흥주점영업,1974-10-12,강남노래타운,"강원도 원주시 장미공원길 25-9, 지하1층 (단계동)",강원도 원주시 단계동 848-1 ,87.57,033-744-9085,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1975-07-12,윤씨방,강원도 원주시 평원로 46 (평원동),강원도 원주시 평원동 310-14 ,120.94,033-742-5111,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1976-03-15,청춘,강원도 원주시 중앙로 46-4 (중앙동),강원도 원주시 중앙동 268 ,89.1,033-743-7585,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1976-03-15,둥지,강원도 원주시 중앙로 201-2 (학성동),강원도 원주시 학성동 326-3 ,130.36,033-735-7218,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1977-03-03,로또노래바,강원도 원주시 치악로 1792 (개운동),강원도 원주시 개운동 383-13 ,187.13,033-761-9357,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1979-11-28,써니라이브,강원도 원주시 천사로 30 (단계동),강원도 원주시 단계동 858 ,84.88,033-743-2777,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1979-06-18,무지개,강원도 원주시 평원로 143 (학성동),강원도 원주시 학성동 430-3 ,108.3,033-745-6993,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1980-06-11,매직노래타운,강원도 원주시 원일로 200-1 (학성동),강원도 원주시 학성동 303-26 ,66,033-742-9027,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1980-07-07,사라있네,강원도 원주시 장미공원길 7 (단계동),강원도 원주시 단계동 849-1 ,181.64,033-744-6295,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1981-07-11,대목,강원도 원주시 장미공원길 1 (단계동),강원도 원주시 단계동 851 ,126.98,033-743-1325,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1981-05-21,11클럽,"강원도 원주시 장미공원길 67-4, 지하1층 (단계동)",강원도 원주시 단계동 867-1 ,128.63,033-472-4722,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1982-12-22,한마당,강원도 원주시 중앙로 163 (중앙동),강원도 원주시 중앙동 8-2 ,92.75,033-742-7504,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1983-03-03,아리랑회관,"강원도 원주시 중앙로 38-1, 지하1층 (인동)",강원도 원주시 인동 25-14 ,120.5,033-762-9984,기타,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1983-08-10,골드문,강원도 원주시 장미공원길 67-6 (단계동),강원도 원주시 단계동 867-2 ,111.89,033-734-4048,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1983-08-06,황실노래빠,강원도 원주시 원일로 164-7 (학성동),강원도 원주시 학성동 211-1 ,42.38,033-742-4042,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1983-10-06,난초,강원도 원주시 원일로 144-1 (중앙동),강원도 원주시 중앙동 14-2 ,96.51,033-742-2008,간이주점,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1983-08-26,고구려,강원도 원주시 장미공원길 1 (단계동),강원도 원주시 단계동 851 ,115.32,033-742-0890,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1984-05-23,7함대,강원도 원주시 치악로 1608 (단구동),강원도 원주시 단구동 168-20 ,229.06,033-743-8124,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1984-03-02,한국관룸나이트,강원도 원주시 장미공원길 23 (단계동),강원도 원주시 단계동 845-1 ,958.73,033-744-2010,고고(디스코)클럽,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1984-10-08,학궁,강원도 원주시 치악로 1843 (인동),강원도 원주시 인동 25-4 ,16.4,033-764-0327,간이주점,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1984-11-05,봉화,강원도 원주시 봉화로 12 (단계동),강원도 원주시 단계동 870-4 ,97.25,033-744-5523,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1985-08-10,파트너,"강원도 원주시 평원로 116-1 (학성동,329-9 (지하1층))",강원도 원주시 학성동 329-4 329-9 (지하1층) ,127.29,033-742-6666,기타,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1985-09-16,유래가요방,강원도 원주시 북원로 2718-1 (태장동),강원도 원주시 태장동 1365-4 ,113.06,033-744-3300,고고(디스코)클럽,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1985-02-25,스토리술파는노래방,강원도 원주시 장미공원길 24 (단계동),강원도 원주시 단계동 842-5 ,208.51,033-732-2621,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1985-06-01,별뮤직타운,강원도 원주시 중앙로 1 (인동),강원도 원주시 인동 264-22 ,0,033-761-7341,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1985-02-11,유락노래마을,"강원도 원주시 원일로 148-4, 지하1층 (중앙동)",강원도 원주시 중앙동 15-1 지하1층 ,248.91,033-762-1513,간이주점,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1987-03-16,시티가요방,강원도 원주시 장미공원길 75-2 (단계동),강원도 원주시 단계동 871-1 ,120.75,033-732-1004,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1987-12-31,엠비씨(MBC)노래마트,"강원도 원주시 장미공원길 24 (단계동,2층)",강원도 원주시 단계동 842-5 2층 ,98.85,033-764-2790,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1987-09-17,신데렐라,강원도 원주시 장미공원길 25-10 (단계동),강원도 원주시 단계동 847-2 ,125.62,033-746-5355,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1987-10-24,감자,강원도 원주시 장미공원길 25-4 (단계동),강원도 원주시 단계동 846-3 ,87.78,033-743-8416,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
유흥주점영업,1987-12-09,소녀시대,강원도 원주시 북원로 2235-8 (단계동),강원도 원주시 단계동 853-6 ,124.28,033-742-3458,룸살롱,강원도 원주시청,033-737-3778,2022-10-13
