건축구분,허가번호,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),증축연면적(㎡),구조,주용도,부속용도,설계자 전화번호,설계사무소명
신축,2021-신속허가과-신축허가-16,강원도 원주시 지정면 보통리 59-1,임야,"9,708","2,601.5","2,601.5",,일반철골구조,공장,,043-873-6661,(주)뿌리건축사사무소
증축,2021-신속허가과-증축허가-2,강원도 원주시 문막읍 궁촌리 산 47-5 외81필지,체육용지,"3,162,065","8,098.48","16,406.24","3,438.78",철근콘크리트구조,운동시설,,033-747-1806,태인도시ENC종합건축사사무소
신축,2021-안전도시과-신축허가-6,강원도 원주시 반곡동 2038-12,대,271.8,89.83,142.91,,일반목구조,단독주택,,033-765-7725,건축사사무소길
신축,2021-신속허가과-신축허가-15,강원도 원주시 지정면 신평리 1167-9,대,270.4,122.3,134.1,,철근콘크리트구조,단독주택,단독주택,,건축사사무소 율
신축,2021-신속허가과-신축허가-14,강원도 원주시 흥업면 흥업리 1830-3,대,564.5,327.45,"1,273.55",,철근콘크리트구조,제1종근린생활시설,"제1,2종근린생활시설",033-766-2096,아세아종합건축사사무소
신축,2021-신속허가과-신축허가-13,강원도 원주시 지정면 가곡리 1445-2,대,348,186.05,567.04,,철근콘크리트구조,단독주택,다가구주택 및 근린생활시설,033-748-2526,건축사사무소 도원
신축,2021-신속허가과-공용건축물-1,강원도 원주시 부론면 법천리 1449-2,대,"1,608.38",253.56,253.56,,철근콘크리트구조,제1종근린생활시설,파출소,033-747-0447,동성건축사사무소
증축,2021-신속허가과-증축허가-1,강원도 원주시 단계동 802-4,대,"1,108",543.28,"1,159.28",367.72,철근콘크리트구조,제2종근린생활시설,,033-743-9041,남일건축사사무소
신축,2021-안전도시과-신축허가-2,강원도 원주시 반곡동 1963-23 외1필지,대,752.1,152.17,199.62,,철근콘크리트구조,단독주택,단독주택,033-733-8207,종합건축사사무소 한신
신축,2021-신속허가과-신축허가-11,강원도 원주시 문막읍 동화리 1039-29 외1필지,임야,"1,314",497.025,497.025,,일반철골구조,제1종근린생활시설,소매점,033-765-7283,土宇건축사사무소
신축,2021-신속허가과-신축허가-12,강원도 원주시 태장동 2772-1,대,252,149.38,392.84,,철근콘크리트구조,단독주택,,,건축사사무소 보이드
신축,2021-안전도시과-신축허가-1,강원도 원주시 반곡동 1486 외1필지,창고용지,"1,254",375.76,"1,313.24",,일반철골구조,제1종근린생활시설,"제1,2종근린생활시설",033-761-2600,삼예건축사사무소
용도변경,2021-건축과-용도변경허가-8,강원도 원주시 판부면 서곡리 1122-5,대,483.57,53.78,53.5,,,단독주택,,,건축사사무소 킨즈
신축,2021-신속허가과-신축허가-10,강원도 원주시 지정면 신평리 1069-1,공장용지,"13,983.42","1,324.79","3,974.37",,일반철골구조,공장,공장,033-747-3322,신한건축사사무소
용도변경,2021-건축과-용도변경허가-7,강원도 원주시 문막읍 비두리 1818,대,525,64.8,64.8,,일반목구조,제2종근린생활시설,종교집회장-사당,,신한건축사사무소
신축,2021-신속허가과-신축허가-7,강원도 원주시 학성동 439-5,대,174.1,121.64,465.08,,철근콘크리트구조,단독주택,다중주택,02-534-8868,(주)아키엘로건축사사무소
신축,2021-신속허가과-신축허가-8,강원도 원주시 호저면 만종리 529 외1필지,전,"2,047",486,486,,일반철골구조,노유자시설,근로복지시설,033-747-3322,신한건축사사무소
신축,2021-신속허가과-신축허가-9,강원도 원주시 태장동 847-1 외2필지,전,"1,362",699.8,699.8,,일반철골구조,제2종근린생활시설,수리점,033-744-3313,동서종합 건축사사무소
용도변경,2021-건축과-용도변경허가-6,강원도 원주시 문막읍 동화리 1039,대,"1,238",324,324,,,창고시설,,033-765-7283,土宇건축사사무소
용도변경,2021-건축과-용도변경허가-5,강원도 원주시 부론면 정산리 2061-8,대,638,73.03,73.03,,일반목구조,제1종근린생활시설,사무소,031-269-6244,광장종합건축사사무소
신축,2021-신속허가과-신축허가-6,강원도 원주시 지정면 신평리 451-1 외1필지,목장용지,"1,678",502.67,502.67,,일반철골구조,제2종근린생활시설,제조업소,033-735-1436,(주)윤건축사사무소
신축,2021-신속허가과-신축허가-4,강원도 원주시 소초면 흥양리 산 249,임야,"7,945",824,824,,경량철골구조,제1종근린생활시설,근생시설 및 창고시설,033-747-0447,동성건축사사무소
용도변경,2021-건축과-용도변경허가-4,강원도 원주시 신림면 구학리 450 외1필지,대,880,128.73,128.73,,벽돌구조,제1종근린생활시설,소매점,033-742-4130,건축사사무소 모아
증축,2021-안전도시과-협의건축물-1,강원도 원주시 단구동 1708 외1필지,공원,"54,246","1,026.42","1,051.01",326.43,철근콘크리트구조,제1종근린생활시설,휴게음식점,,건축사사무소 커튼홀
신축,2021-신속허가과-신축허가-3,강원도 원주시 우산동 218-20,답,260,154.56,503.57,,철근콘크리트구조,제2종근린생활시설,다가구주택 및 근린생활시설,033-748-2526,건축사사무소 도원
용도변경,2021-건축과-용도변경허가-3,강원도 원주시 단계동 883-2,대,345,240.06,"1,902.18",,철근콘크리트구조,노유자시설,"제1,2종근린생활시설",033-433-0258,윈 건축사사무소
용도변경,2021-건축과-용도변경허가-2,강원도 원주시 단계동 786-1,대,513.7,290.29,494.49,,철근콘크리트구조,제2종근린생활시설,,033-747-3322,신한건축사사무소
신축,2021-신속허가과-신축허가-2,강원도 원주시 태장동 859-10 외1필지,잡종지,884,225.56,306.16,,일반철골구조,제2종근린생활시설,사무소,033-743-2743,종합건축사사무소 비전
용도변경,2021-건축과-용도변경허가-1,강원도 원주시 일산동 53-20,대,323.7,208.68,427.86,,일반철골구조,제1종근린생활시설,점포 및 사무실,032-556-7334,이기건축사사무소
용도변경,2021-안전도시과-용도변경허가-1,강원도 원주시 단구동 1619-8,대,331,194.9,531.58,,,단독주택,제2종근린생활시설,033-746-0467,조화 건축사사무소
신축,2021-신속허가과-신축허가-1,강원도 원주시 부론면 노림리 1286,답,"3,058","1,828","1,828",,일반철골구조,동.식물관련시설,축사,,건축사사무소섭리
용도변경,2021-건축과-용도변경허가-19,강원도 원주시 무실동 1857-7,대,"2,099.4","1,660.26","10,035.82",,철근콘크리트구조,제1종근린생활시설,"제2종근린생활시설, 업무시설,교육연구시설",033-747-1806,태인도시ENC종합건축사사무소
