연번,읍면동,경로당 명,소재지,새주소,건물구조,계,남,여,"경로당
면적
(㎡)","건축년도
(준공일)"
1,문막읍,문막1리 경로당,문막읍 문막리 909, 문막시장3길 113(문막읍),철근콘크리트,75,35,40,205.08,2001-11-30
2,문막읍,문막2리 경로당,문막읍 문막리 542-1, 문막골말길 7-1(문막읍),철근콘크리트,72,36,36,99.09,2015-09-01
3,문막읍,포진1리 경로당,문막읍 포진리 169-4, 시무리길 35-8(문막읍),벽돌구조,70,33,37,168.6,2008-11-12
4,문막읍,포진2리 경로당,문막읍 포진리 642-7,,벽돌구조,50,20,30,98.4,2002-08-20
5,문막읍,궁촌1리 경로당,문막읍 궁촌리 768-3, 궁말길 23(문막읍),벽돌구조,101,37,64,104.58,2007-10-05
6,문막읍,궁촌2리 경로당,문막읍 궁촌리 429-3, 서들길 26(문막읍),철근콘크리트,59,20,39,154.96,2015-12-02
7,문막읍,비두1리 경로당,문막읍 비두리 1094-1, 귀문로 954(문막읍),철근콘크리트/경사스라브,51,22,29,132.3,2012-05-08
8,문막읍,비두2리 경로당,문막읍 비두리 1767, 사흥길 2(문막읍),벽돌구조,67,31,36,98.11,2009-08-21
9,문막읍,후용1리(남) 경로당,문막읍 후용리 1318,,철근콘크리트,19,19,0,262.98,2010-09-17
10,문막읍,후용1리(여) 경로당,문막읍 후용리 412-3,,벽돌  ,31,0,31,34.2,1980-03-20
11,문막읍,후용2리(남) 경로당,문막읍 견훤로 906-1, 견훤로 906-1(문막읍),철근콘크리트,24,24,0,112.42,1998-08-19
12,문막읍,후용2리(여) 경로당,문막읍 견훤로 912, 견훤로 912(문막읍),철근콘크리트/경량철골구조(2층),28,0,28,268.87,2010-03-05
13,문막읍,반계1리 경로당,문막읍 반저리1길 3, 반저리1길 3(문막읍),철근콘크리트/평스라브/경량철골,64,25,39,98.47,1996-09-03
14,문막읍,반계2리(남) 경로당,문막읍 반계리 651-1, 벌무내기길 11(문막읍),철근콘크리트,34,34,0,138.64,1973-01-01
15,문막읍,반계2리(여) 경로당,문막읍 반계리 659, 벌무내기길 23(문막읍),철근콘크리트,33,0,33,128,1992-12-12
16,문막읍,반계3리(골무내기) 경로당,문막읍 황효자길 58-1, 황효자길 60(문막읍),붉은벽돌/스라브,22,11,11,85.1,1998-11-20
17,문막읍,반계3리(밤산골) 경로당,문막읍 반계리 957, 밤상골길 4(문막읍),철근콘크리트/스라브,29,12,17,153.9,1998-08-21
18,문막읍,반계4리 남서울A 경로당,문막읍 쪽섬길 4," 쪽섬길 4, 109(문막읍, 남서울A)",철근콘크리트,25,6,19,66.42,1992-09-01
19,문막읍,취병1리 경로당,문막읍 취병리 412, 내신동1길 94(문막읍),철근콘크리트/스라브,61,31,30,97.43,1995-11-29
20,문막읍,취병2리 경로당,문막읍 취병리 520, 벌새터길 47-20(문막읍),철근콘크리트/철골,23,8,15,102.54,2010-10-13
21,문막읍,취병2리(진밭) 경로당,문막읍 취병리 799-3, 취병로 644(문막읍),벽돌구조(시멘벽돌),23,13,10,100.28,2006-07-07
22,문막읍,건등1리 경로당,문막읍 건등리 1228-1, 석지1길 172(문막읍),벽돌구조,36,13,23,120.96,2004-08-12
23,문막읍,건등1리(등안동) 경로당,문막읍 건등리 1, 지샘등안길 128-1(문막읍),경량철골조,35,15,20,106.56,2005-06-28
24,문막읍,건등2리 경로당,문막읍 건등리 343, 토평길 140(문막읍),철근콘크리트,62,23,39,42.66,2009-09-16
25,문막읍,건등3리 경로당,문막읍 건등리 1255-5, 명봉산길 22-5(문막읍),변색벽돌/스라브,27,11,16,134.6,1991-12-21
26,문막읍,건등4리 대보A 경로당,문막읍 건등리 194-1 대보A," 원문로 1613(문막읍, 대보A)",철근콘크리트,17,4,13,44.28,1991-12-16
27,문막읍,건등5리 덕원A 경로당,문막읍 건등리 193-2 덕원A," 원문로 1627(문막읍, 덕원A)",철근콘크리트,60,19,41,33,1994-12-14
28,문막읍,건등6리 경로당,문막읍 문막리 421-1, 건등로 16-21(문막읍),철근콘크리트,52,22,30,138.64,2013-11-18
29,문막읍,건등7리 신한A 경로당,문막읍 건등리 1697-2 신한A," 건등로 41(문막읍, 신한A)",철근콘크리트,41,18,23,155,1997-04-10
30,문막읍,삼익A 경로당,문막읍 건등리 1697-1(삼익A 관리동)," 건등로 27(문막읍, 삼익A)",철근콘크리트,22,10,12,107.2,1997-11-28
31,문막읍,건등9리 극동A 경로당,문막읍 건등리 1741-1 극동스타클래스A," 건등로 67(문막읍, 극동A)",철근콘크리트,33,10,23,87.481,2008-11-26
32,문막읍,건등10리 문막주공A 경로당,문막읍 건등리 1742-1 문막주공A," 원문로 1684(문막읍, 문막주공A)",철근콘크리트,101,39,62,73.402,2008-12-02
33,문막읍,동화1리 경로당,문막읍 동화리 1159-7, 큰애니길 76(문막읍),철근콘크리트,64,27,37,148.21,2006-08-16
