발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2012,2012-05-14 18:00,야간,월,1,3,1,1,0,강원,원주시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,1028213,1922232,127.818334,37.29861488
2012,2012-08-10 20:00,야간,금,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,1028562,1923247,127.8223109,37.30775326
2012,2012-09-06 8:00,주간,목,1,2,1,0,0,강원,원주시,차대차,추돌,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,1035342,1929332,127.899109,37.36236852
2012,2012-05-03 8:00,주간,목,1,1,0,0,0,강원,원주시,차대차,추돌,진행중 추돌,보행자 보호의무 위반,단일로,기타단일로,승용차,중형,1040426,1924435,127.955588,37.31820399
2012,2012-05-21 14:00,주간,월,1,1,0,0,0,강원,원주시,차대사람,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명,승용차,중형,1039184,1926524,127.9423462,37.33690391
2012,2012-05-01 12:00,주간,화,1,1,0,0,0,강원,원주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,1055390,1917191,128.1245905,37.25195601
2012,2012-05-04 11:00,주간,금,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,1038127,1927333,127.9304557,37.34423997
2012,2012-05-21 19:00,야간,월,2,5,3,0,0,강원,원주시,차대차,측면직각충돌,측면직각충돌,중앙선 침범,단일로,기타단일로,승용차,대형,1043448,1927247,127.9858473,37.34293478
2012,2012-03-23 20:00,야간,금,1,1,0,0,0,강원,원주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로부근,승용차,중형,1039700,1926452,127.9481673,37.336233
2012,2012-04-22 20:00,야간,일,1,3,0,2,0,강원,원주시,차대차,추돌,진행중 추돌,안전거리 미확보,단일로,기타단일로,승용차,경형,1039251,1928773,127.9432217,37.35717273
